Scenario,Risk_Level,Cause_of_Accident,Keywords,Readability_Score
"It approximately  an employee was overseen the loading of concrete jersey barriers on his low boy trailer. The employee directed the leader operator to move the forward right end of the concrete barrier to straighten it out on the trailer. When the leader operator went to raise the forward right end of the barrier with forks underneath the barrier wall, the left fork tip got caught between the trailer wood and a bolt. Is operator continued to raise the end of the barrier wall it broke free and the concrete barrier weighing 5,000 les fell off the low boy and on to the employee's foot and ankle. The employee was admitted to hospital for fractured ankle. However, the blood vessels did not heal, resulting in left leg amputation from below the knee on .",Medium,Caught in or between caused by Overhead Moving/Falling Object Action,"STRUCK BY, FALLING OBJECT, MOTOR VEHICLE, POWERED INDUSTRIAL VEHICLE, MATERIAL HANDLING, CONSTRUCTION VEHICLE, AMPUTATED",
"It  an employee was covering a wooden formwork panel that loaded on a flashed trailer with a tarpaulin. The employee was kneeling and spreading the tarpaulin and stood up, lost their balance, and fell approximately 7 feet to the ground. The employee was admitted to the Den Medical Enter and treated for fractured ribs and a left shoulder separation. The employee was released on .",Medium,Fall (from elevation) caused by Flying Object Action,"RIB, MATERIAL HANDLING, LOST BALANCE, FRACTURE, SHOULDER, FALL, TRAILER",
It  an employee was climbed a 10 foot stepladder to look over an 8 foot platform. The employee fell off the ladder and landed on the concrete floor. EMS responded and transported the employee to Faint Francis Medical Enter where he was treated for a laceration to the back of their head and a fractured clavicle.,Medium,Fall (from elevation) caused by Ladder Failure/Slip,"BACK, LACERATION, HEAD, LADDER, FRACTURE, FALL",
It  an employee was pulling a dumpster from an enclosure. The employee crushed their pink finger when it was caught between the dumpster and the enclosure wall. The employee's pink was amputated as a result.,Medium,Caught in or between caused by Pinch Point Action,"WALL, CRUSHED, AMPUTATION, FINGER, DUMPSTER, AMPUTATED",
"It approximately  Employee, a mechanics, was sitting in a chair and collapsed. Employee died of natural causes however, there was a possible methylene chloride exposure.",High,Card-vascular/resp. fail. caused by Medical Emergency,"FALL, METHYLENE CHLORIDE, MECHANIC",
"It 8:00 a.m. on March 24,2017, an employee was removing a label from the side of a spinning paper holland their hand was pulled into the equipment. The employee had a patch of skin torn from their arm. one had a patch of skin torn from their arm.",Medium,Caught in or between caused by Pinch Point Action,"CAUGHT IN, NIP POINT, ARM",
"It approximately 8:20 a.m., on , an employee engaged in residential construction activities as a frame, was standing on the top of a lumber beam at the third floor level, approximately 30 feet above the ground, while unloading lumber from a forklift. The employee lost his balance and fell to the ground. Emergency services were called and the employee was taken to Westchester Medical Enter, where he was hospitalized and treated for multiple fractures. The employee was not wearing any fall arrest system or using any other fall prevention methods.",Low,Fall (from elevation) caused by Materials Handling Equip./Method,"ELEVATED WORK PLATFORM, FALL, MATERIAL HANDLING, RESIDENTIAL CONSTRUCTION, LOST BALANCE, FRACTURE",
It  an employee was feeding a piece of wood into a table saw which did not have a guard. The employee had their hand pulled into the saw blade and amputated the tip of their finger.,Medium,Cut/laceration caused by Sharp Object/Tool,"TABLE SAW, AMPUTATED, BLADE, AMPUTATION, FINGER",
"It  an employee was working with three other workers that were hydra-testing some tuning in a well. The crew installed a circulating head with a PGSR rubber to contain the masses from the well but first installed one that was too large. They pulled it from the well and replaced it with a smaller version; however, one of the workers opened the slips while the employee was holding onto the API ring with their left hand. The worker lowered the elevator and the employee had their thumb pinched and crushed between the API ring and the elevator. The employee sustained a partial amputation of their left thumb. heir left thumb.",Medium,Caught in or between caused by Pinch Point Action,"THUMB, CRUSHED, OIL WELL DRILLING/SERVICING, AMPUTATION, AMPUTATED",
"It approximately  Employee was installing fearless aluminium gutters from a ladder jack scaffold, approximately 15 foot high. He fell, suffering head, neck and upper tarso injuries and died.",High,Fall (from elevation) caused by Work-Surface/Facility-Layout Condition,"STRUCK AGAINST, LADDER, LADDER JACK SCAFFOLD, NECK, SCAFFOLD, ROOF, RESIDENTIAL CONSTRUCTION, HEAD, FALL",
"In , Employee, the company owner, was trimming a tree top from a bucket truck approximately 30 to 40 feet up. The piston on the boom extension snapped, causing the bucket to swing around and crash into the drivers side of the truck. Employee sustained broken ribs and was hospitalized for his injuries.",Low,Struck-by caused by Mobile Equipment Operation,"PISTON, TRUCK, FRACTURE, TRUCK BOOM, STRUCK AGAINST, TREE TRIMMING, RIB",
"It  Employee was working on the Number 165 Massenzana printing press. The ink senior was malfunctioning so the employee came to troubleshoot and clean off the senior. Is he pulled on the wire to the senior, the tollers activate, and the employee's left hand was pulled into the anglo and rubber ink tollers. Employee sustained a three finger amputation to his left hand. The accident was witnessed.",Medium,Caught in or between caused by Pinch Point Action,"PRINTING PRESS, CAUGHT IN, ROLLER--MACH/PART, FINGER, AMPUTATION, LOCKOUT/TAGOUT, CLEANING",
"It  Employee was installing study in the case of an engine being assembled. While moving the installed equipment and case, the employee accidentally cycle the equipment, catching his glove on the revolving shaft of the stud installed, and amputating his right thumb.",Medium,Caught in or between caused by Catch Point/Puncture Action,"PPE, THUMB, ENGINE, LOCKOUT, GLOVE, AMPUTATED, ROTATING SHAFT, CAUGHT IN",
It approximately  Employee was applying cold patch material to a road surface when he was struck by a vehicle backing up. Employee was killed.,High,"Struck-by caused by Misjudgment, Hazardous Situation","STRUCK BY, CONSTRUCTION, MOTOR VEHICLE",
"It  Employee was driving a Coyote LPG forklift, Model number 7FBEU20, and Aerial number 22464, unloading a pallet at the nose of a 24 foot straight truck, when a loose box fell from the pallet. The employee dismounted from the forklift to pick up the loose box and his ankle became pinned between the forks of the forklift and a said. Employee sustained a fractured ankle and was hospitalized as a result of his injury.",Low,Struck-by caused by Materials Handling Equip./Method,"SKIDDER, PINNED, PALLET, STRUCK BY, CAUGHT BETWEEN, MATERIAL HANDLING, POWERED INDUSTRIAL VEHICLE, FRACTURE, ANKLE",
"It approximately  an employee was making a closed hem on a 10 foot long J trim on a lowered leaf brake. He was petitioning the J trim to complete the closed hem. The employee wanted to raise (open) the clamping bar more to remove the part, but stepped on the wrong foot pedal which lowered (closed) the clamping bar. The employee's finger was in the pinch point between the clamping bar and material. The tip of the right thumb was smashed. The employee was hospitalized and treated for his injuries.",Medium,Caught in or between caused by Pinch Point Action,"AMPUTATED, NIP POINT, BRAKE, CRUSHED, FINGER",
"It approximately  two employees were cutting through a concrete floor to replace a fewer pipe inside a halfway of a condominium complex. The employees were using a gas lowered concrete saw. The concrete saw was equipped with a Coley Industrial Engine Exhaust Purified which was supposed to reduce carbon monoxide to a safe level. The exhaust purified which was a bolt on a paralytic converted would only reduce carbon monoxide levels to 5,000 pp per information from the manufacturer's webster information. The employees began to experience light headdress, headache, disorientation, and tingling in hands from exposure to the exhaust from the gas lowered concrete saw. The employees were exposed to carbon monoxide levels which exceeded 50 pp as an 8 hour time weighted after just 30 minutes of exposure. The fire department measured carbon monoxide levels of over 300 pp. Carboxyhemoglobin levels two hours after exposure were 19.5% and 18.2%. The employees did not lose consciousness and were not hospitalized.",Medium,Inhalation caused by Gas/Vapor/Mist/Fume/Smoke/Dust,"SAW, EXHAUST FUMES, INHALATION, CARBON MONOXIDE, ASPHYXIATED, CHEMICAL",
It  an employee was reaching to remove an extra nut placed by the wedding machine automatic tender. The employee inadvertently pressed the start button to cycle the machine and the elder tips came together when their left index finger was in the point of operation.The employee amputated their left index fingertips. ted their left index fingertips.,Medium,Caught in or between caused by Materials Handling Equip./Method,"CAUGHT IN, AMPUTATED, MACHINE GUARDING, AMPUTATION, FINGER",
"It approximately  an employee was taking cement while walking backwards. The employee fell over an protected edge at a stairway opening, approximately 12 feet to the metal stairs and floor. He suffered laceration to the back of the head and a bruised back. The employee was not hospitalized.",Low,Fall (from elevation) caused by Work-Surface/Facility-Layout Condition,"STAIR, HEAD, LACERATION, FALL, UNGUARDED, BACK",
